,Title,Release year,Genres,IMDB rating,Runtime,Age rating,Production country,Streaming service,Type,Movie link
0,Mirzapur,(2024),"Mystery & Thriller, Action & Adventure, Crime, Drama",8.7 (29k),50min,,India,"('Amazon Prime Video',)",movie,https://www.justwatch.com/in/movie/maharaja-2024
1,House of the Dragon,(2024),"Drama, Science-Fiction, Mystery & Thriller, Action & Adventure, Fantasy",7.6 (41k),1h 6min,UA,United States,"('Jio Cinema',)",movie,https://www.justwatch.com/in/movie/project-k
2,The Boys,(2024),"Action & Adventure, Crime, Drama, Mystery & Thriller",7.8 (12k),1h 1min,A,United States,"('Amazon Prime Video',)",movie,https://www.justwatch.com/in/movie/kill-2024
3,Panchayat,(2024),"Comedy, Horror",7.2 (15k),35min,,India,"('Amazon Prime Video',)",movie,https://www.justwatch.com/in/movie/munjha
4,Sweet Home,(2019),"Crime, Action & Adventure, Mystery & Thriller",6.9 (25k),58min,,South Korea,"('Netflix',)",movie,https://www.justwatch.com/in/movie/the-gangster-the-cop-the-devil
5,Game of Thrones,(2024),"Drama, Action & Adventure, Comedy, Romance",5.3 (4.3k),58min,,"United States, United Kingdom","('Jio Cinema',)",movie,https://www.justwatch.com/in/movie/family-star
6,Demon Slayer: Kimetsu no Yaiba,(2024),"Comedy, Action & Adventure",7.9 (17k),26min,,Japan,"('Netflix', 'Crunchyroll', 'Crunchyroll Amazon Channel')",movie,https://www.justwatch.com/in/movie/aavesham-2024
7,Apharan,(2024),Drama,8.3 (11k),24min,UA,India,"('Jio Cinema', 'Alt Balaji')",movie,https://www.justwatch.com/in/movie/aadujeevitham
8,Shōgun,(2024),"Mystery & Thriller, Action & Adventure, Science-Fiction",7.6 (145k),59min,A,United States,"('Hotstar',)",movie,https://www.justwatch.com/in/movie/furiosa
9,The Bear,(2024),"Action & Adventure, Comedy, Drama, Romance",7.0 (108k),34min,UA,United States,"('Hotstar',)",movie,https://www.justwatch.com/in/movie/the-fall-guy
10,Evil,(2024),"Action & Adventure, Crime, Mystery & Thriller",7.2 (2.3k),49min,UA,United States,"('Jio Cinema',)",movie,https://www.justwatch.com/in/movie/garudan-2024
11,Kota Factory,(2019),"Action & Adventure, Drama",7.2 (9.9k),43min,UA,India,"('Netflix',)",movie,https://www.justwatch.com/in/movie/maharshi
12,Gullak,(2024),"Action & Adventure, Science-Fiction, Drama, Mystery & Thriller",7.0 (82k),30min,,India,"('Sony Liv',)",movie,https://www.justwatch.com/in/movie/kingdom-of-the-planet-of-the-apes
